C:\PCS\PCS64e\Curves\2022'12'26-17'12'20-TupyS-1_3.s2k.out																	
DN	106.53	1141.06	-0.237453	0	-0.00411275	0.993468	0.0181676	3.78406	-0.561792	0	1.9549	2.96734	-0.612569	-0.341214	-0.0624297	0.439826	0
PUP	112.827	1139.38	-0.316379	-5.14E-05	0.0054796	1.01847	0.000123573	4.36937	-0.0663789	0	0.10408	1.87388	1.47529	0.0154514	0.0235636	0.741389	0.202102
																	
C:\PCS\PCS64e\Curves\2022'12'27-02'37'20-TupyS-1_2.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
DN	113.787	1139.71	-0.256555	0	-0.00424326	0.80098	0.0207905	4.2909	-0.848327	0	1.90269	2.0049	-0.809289	-0.179623	1.92482	0.295726	0
PUP	120.747	1137.7	-0.346063	-0.00861365	0.00307866	0.872358	0.00652991	2.81526	-0.0960629	0	0.584269	1.28943	0.194019	0.00904045	0.273089	0.723048	-0.161574
																	
C:\PCS\PCS64e\Curves\2022'12'27-02'45'20-TupyS-1_4.s2k.out																	
tick	time	temp	der	der2	der3	power	powder	quality	q-der	q-der2	q-der3	q-pow	q-powder	q-ToTAN	q-ToTBP	P-ratio	Wiggle
